collected_on,origin,destination,travel_date,days_ahead,price_raw
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,000"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,000"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,000"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,000"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,000"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,000"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,159"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,159"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,159"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,159"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,159"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,159"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,159"
2026-08-31,DEL,BOM,2026-09-01,1,"₹7,159"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-07,7,"₹7,000"
2026-08-31,DEL,BOM,2026-09-15,15,"₹6,898"
2026-08-31,DEL,BOM,2026-09-15,15,"₹6,898"
2026-08-31,DEL,BOM,2026-09-15,15,"₹7,000"
2026-08-31,DEL,BOM,2026-09-15,15,"₹7,000"
2026-08-31,DEL,BOM,2026-09-15,15,"₹7,000"
2026-08-31,DEL,BOM,2026-09-15,15,"₹7,000"
2026-08-31,DEL,BOM,2026-09-15,15,"₹7,000"
2026-08-31,DEL,BOM,2026-09-15,15,"₹7,000"
2026-08-31,DEL,BOM,2026-09-15,15,"₹7,000"
2026-08-31,DEL,BOM,2026-09-15,15,"₹7,000"
2026-08-31,DEL,BOM,2026-09-15,15,"₹7,000"
2026-08-31,DEL,BOM,2026-09-15,15,"₹7,000"
2026-08-31,DEL,BOM,2026-09-15,15,"₹7,000"
2026-08-31,DEL,BOM,2026-09-15,15,"₹7,000"
2026-08-31,DEL,BOM,2026-09-30,30,"₹7,000"
2026-08-31,DEL,BOM,2026-09-30,30,"₹7,000"
2026-08-31,DEL,BOM,2026-09-30,30,"₹7,000"
2026-08-31,DEL,BOM,2026-09-30,30,"₹7,000"
2026-08-31,DEL,BOM,2026-09-30,30,"₹7,000"
2026-08-31,DEL,BOM,2026-09-30,30,"₹7,000"
